leave-n	leave.02	leave	n	leave	leave.10	1:1	2:2	0:0
leave-v	leave.02	leave	v	leave	leave.02	1:1	2:2	0:0
leave-v	leave.03	leave	v	leave	leave_out.03	1:1	2:2	0:0
leave-v	leave.04	leave	v	leave	leave.15	1:1	2:2	0:0
leave-v	leave.05	leave	v	leave	leave.05	1:1	0:0
leave-v	leave.06	leave	v	leave	leave.13	1:1	0:0
leave-v	leave.06	leave	v	leave	leave.16	1:1	0:0
leave-v	leave.06	leave	v	leave	leave.17	1:1	0:a	adv:2
leave-v	leave.07	leave	v	leave	leave_off.07	1:1	0:0
leave-v	leave.08	leave	v	leave	leave_over.08	1:1	0:0
mean-v	mean.01	mean	v	mean	mean.01	0:1	1:2	2:3	0:0
mean-v	mean.01	mean	v	mean	mean.02	1:1	2:2	0:0
play-v	play.01	play	v	play	play.01	3:3	com:3	2:2	0:0	1:1
play-v	play.01	play	v	play	play.11	1:1	3:0	3:deletion	2:2	0:0
provoke-v	provoke.01	provoke	v	provoke	provoke.01	1:1	2:2	0:0
provoke-v	provoke.01	provoke	v	provoke	provoke.02	1:1	2:2	0:0
questioning-n	questioning.01	questioning	n	question	question.01	1:1	2:2	0:0
questioning-n	questioning.01	questioning	n	question	question.03	1:1	2:gol	0:0
question-n	question.01	question	n	question	question.01	1:1	2:2	0:0
question-n	question.01	question	n	question	question.03	1:1	2:gol	0:0
question-v	question.01	question	v	question	question.01	1:1	2:2	0:0
question-v	question.01	question	v	question	question.03	1:1	2:gol	0:0
serve-v	serve.01	serve	v	serve	serve.01	1:1	2:2	0:0
serve-v	serve.01	serve	v	serve	serve.04	cau:2	cau:cau	2:deletion	1:1	0:0	2:0
spread-n	spread.02	spread	n	spread	spread.02	1:1	0:deletion	0:a	dir:dir	2:gol
spread-n	spread.02	spread	n	spread	spread.03	1:1	0:0	dir:dir	2:gol
submit-v	submit.01	submit	v	submit	submit.01	3:3	2:2	0:0	1:1
submit-v	submit.01	submit	v	submit	submit.02	1:1	2:2	3:prp	0:0
suggest-v	suggest.01	suggest	v	suggest	suggest.01	1:1	2:2	0:0
suggest-v	suggest.01	suggest	v	suggest	suggest.02	1:1	2:2	0:0
take-v	take.13	take	v	take	take_up.13	1:1	2:2	0:0
take-v	take.13	take	v	take	take_up.30	1:1	2:2	0:0
take-v	take.13	take	v	take	take_up.31	1:1	0:0	2:com
value-v	value.01	value	v	value	value.01	1:1	2:2	0:0
value-v	value.01	value	v	value	value.02	1:1	2:prd	0:0
demilitarize-v	demilitarize.01	demilitarize	v	demilitarize	demilitarize.01	2:2	2:1	0:0
keeping-n	keeping.02	keeping	n	keep	keep.02	1:1	1:2	0:0
keeping-n	keeping.08	keeping	n	keep	keep_on.08	1:1	1:2	0:0
reexamine-v	reexamine.01	reexamine	v	reexamine	reexamine.01	1:1	prp:2	0:0	prp:prp
advance-v	advance.01	advance	v	advance	advance.01	4:4	1:1	0:0	adv(in):5	adv:adv	3:3	2:2
alienate-v	alienate.01	alienate	n	alienate	alienate.01	2:mnr	1:1	dir(from):2	0:0	dir:dir
arbitrate-v	arbitrate.01	arbitrate	v	arbitrate	arbitrate.01	1:1	0:0	1:2
award-v	award.01	award	v	award	award.01	1:1	cau:cau	2:2	cau:3	0:0
blast-v	blast.05	blast	v	blast	blast.05	1:1	1:2	1:3	0:0
climb-v	climb.02	climb	v	climb	climb.02	loc:5	4:4	1:1	loc:loc	2:2	3:3
conquer-v	conquer.01	conquer	v	conquer	conquer.01	1:1	1:2	0:0
decide-v	decide.01	decide	v	decide	decide.01	3:mnr	1:3	2:2	0:0	1:1
declare-v	declare.01	declare	v	declare	declare.01	1:1	1:2	0:0
decline-v	decline.01	decline	v	decline	decline.01	4:4	1:1	2:2	loc:5	5:5	3:3
default-v	default.01	default	v	default	default.01	1:1	ext:4	2:2	ext:ext
determination-n	determination.01	determination	n	determine	determine.01	prd:3	1:1	0:0	2:2	3:3	3:adj
differ-v	differ.02	differ	v	differ	differ.02	3:mnr	2:2	3:ext	1:1	3:3
dig-v	dig.01	dig	v	dig	dig.01	loc:2	2:mnr	1:1	1:3	0:0	loc:loc	prp:prp	prp:3
engineer-v	engineer.01	engineer	v	engineer	engineer.01	mnr:3	1:1	0:0	mnr:mnr	4:4
equal-v	equal.01	equal	v	equal	equal.01	1:1	adv:3	2:2	adv:adv
err-v	err.01	err	v	err	err.01	loc:1	loc:loc	0:0
examine-v	examine.01	examine	v	examine	examine.01	1:1	prp:2	0:0	prp:prp
farming-n	farming.01	farming	n	farm	farm.01	1:1	1:2	0:0
inoculation-n	inoculation.01	inoculation	n	inoculate	inoculate.01	mnr:3	1:1	2:2	mnr:mnr	0:0
intercept-v	intercept.01	intercept	v	intercept	intercept.01	1:1	dir(from):3	dir(from):2	0:0	dir:dir
jump-v	jump.03	jump	v	jump	jump.03	dir:2	loc:loc	loc:2	0:0	dir:dir
lead-n	lead.02	lead	n	lead	lead.02	1:1	1:2	0:0
lead-v	lead.02	lead	v	lead	lead.02	1:1	1:2	0:0
leap-v	leap.01	leap	v	leap	leap.01	adv:5	4:4	1:1	adv:adv	5:5	3:3	2:2
meaning-n	meaning.01	meaning	n	mean	mean.01	0:1	1:2	2:3	0:0
orient-v	orient.01	orient	v	orient	orient.01	gol:2	1:1	0:0	dir:3	dir:dir	gol:gol	prp:prp	prp:2
race-v	race.02	race	v	race	race.02	1:1	2:3	2:2	0:0
rate-v	rate.01	rate	v	rate	rate.01	1:1	adv(for):3	0:0	2:2	adv(in):3	adv:adv
recommend-v	recommend.01	recommend	v	recommend	recommend.01	3:3	2:4	2:2	0:0	1:1
represent-v	represent.01	represent	v	represent	represent.01	loc:loc	adv(in):2	1:1	0:0	loc(in):2	adv:adv
risk-n	risk.01	risk	n	risk	risk.01	1:1	1:2	0:0	mnr:2	mnr:1	mnr:mnr
risk-v	risk.01	risk	v	risk	risk.01	1:1	1:2	0:0	mnr:2	mnr:1	mnr:mnr
rule-v	rule.01	rule	v	rule	rule.01	1:1	1:3	2:2	0:0
ruling-n	ruling.01	ruling	n	rule	rule.01	1:1	1:3	2:2	0:0
service-v	service.01	service	v	serve	service.05	1:1	mnr:2	0:0	mnr:mnr
shift-v	shift.01	shift	v	shift	shift.01	1:1	0:0	adv(in):4	adv:adv	3:3	2:2
shop-v	shop.01	shop	v	shop	shop.01	1:1	4:3	loc:2	0:0	loc:loc
speak-v	speak.01	speak	v	speak	speak.01	1:1	1:3	2:2	0:0
spring-v	spring.01	spring	v	spring	spring.01	1:1	2:3	2:2
stab-v	stab.01	stab	v	stab	stab.01	3:3	0:0	2:2	3:4	1:1
surge-v	surge.01	surge	v	surge	surge.01	4:4	1:1	a:0	adv:adv	adv:5	3:3	2:2
tender-v	tender.01	tender	v	tender	tender.01	1:1	prp:3	2:2	prp:prp	0:0
touch-n	touch.01	touch	n	touch	touch.01	1:1	mnr(with):2	0:0	mnr:mnr
travel-n	travel.01	travel	n	travel	travel.01	3:2	1:1	1:4	0:0	4:4
travel-v	travel.01	travel	v	travel	travel.01	1:1	1:4	2:2	0:0
traveling-n	traveling.01	traveling	n	travel	travel.01	1:1	1:4	2:2	0:0
try-v	try.02	try	v	try	try.02	1:1	loc:loc	loc:2	0:0	cau:3
war-n	war.01	war	n	war	war.01	1:1	1:2	0:0
win-v	win.01	win	v	win	win.01	4:5	1:1	1:2	0:0	2:3	3:4
attach-v	attach.01	attach	v	attach	attach.01	1:1	1:2	2:3	0:0
connecting-n	connecting.01	connecting	n	connect	connect.01	1:1	1:2	2:3	0:0
co-author-v	co-author.01	coauthor	v	coauthor	coauthor.01	1:1	2:2	0:0
co-chair-v	co-chair.01	cochair	v	cochair	cochair.01	1:1	2:2	0:0
x-ray-v	x-ray.01	xray	v	xray	xray.01	1:1	0:0
pre-separate-v	pre-separate.01	preseparate	v	preseparate	preseparate.01	1:1	2:2	0:0
re-injection-n	re-injection.01	reinjection	n	inject	inject.01	1:1	2:2	0:0
re-evaluate-v	re-evaluate.01	reevaluate	v	reevaluate	reevaluate.01	1:1	0:0
cease-n	cease_fire.01	ceasefire	n	ceasefire	ceasefire.01	1:1	0:0
spread-eagle-v	spread-eagle.01	spreadeagle	v	spreadeagle	spreadeagle.01	1:1	2:2	0:0
spread-eagle-v	spread-eagle.02	spreadeagle	v	spreadeagle	spreadeagle.02	1:1
self-efface-v	self-efface.01	selfefface	v	selfefface	selfefface.01	0:0
self-adjust-v	self-adjust.01	selfadjust	v	selfadjust	selfadjust.01	3:3	2:2	4:4	0:0
fitting-n	fitting.02	fitting	n	fit	fit_in.02	1:1	1:2
fitting-n	fitting.01	fitting-n	n	fit	fit.01	1:1	1:2	0:0
fitting-n	fitting.01	fitting-n	n	fit	fit.06	1:1	0:deletion	1:2	0:a
joining-n	joining.01	joining	n	join	join.01	1:1	1:2	2:3	0:0
log-roll-v	log-roll.01	logroll	v	logroll	logroll.01	0:0
locking-n	locking.01	locking	n	lock	lock.01	1:1	1:2	2:3	0:0
polarize-v	polarize.01	polarize	v	polarize	polarize.01	1:1	1:2	0:0
project-v	project.02	project	v	project	project.02	1:1	1:2	0:0
intend-v	intend.01	intend	v	intend	intend.01	1:1	0:0	2:1
pick-v	pick.07	pick	v	pick	pick_away.07	1:1	dir(away):rel	0:0	dir:dir
split-v	split.01	split	v	split	split.01	4:4	1:1	0:0	dir:3	2:2	3:3	dir(up):rel	dir:dir
bias-v	bias.01	bias	v	bias	bias.01	gol:3	gol:2	1:1	0:0	adv:2	adv:3
collide-v	collide.01	collide	v	collide	collide.01	1:1	0:0	adv:2
converge-v	converge.01	converge	v	converge	converge.01	1:2	gol:2	0:0
correspond-v	correspond.01	correspond	v	correspond	correspond.01	1:1	0:0	adv:2
covering-n	covering.01	covering	n	cover	cover.01	1:1	gol:3	adv:3	2:2	0:0
depose-v	depose.01	depose	v	deposit	depose.03	dir:2	1:1	0:0
deregulate-v	deregulate.01	deregulate	v	deregulate	deregulate.01	dir:2	1:1	prd:3	0:0
dividing-n	dividing.02	dividing	n	divide	divide.02	1:1	dir:3	2:2	0:0
division-n	division.01	division	n	divide	divide.02	1:1	dir:3	2:2	0:0
finance-v	finance.01	finance	v	finance	finance.01	1:1	adv:3	2:2	0:0
honor-v	honor.01	honor	v	honor	honor.01	1:1	prd:3	2:2	mnr:3	0:0
panic-v	panic.01	panic	v	panic	panic.01	1:1	cau:0	adv:0
recess-v	recess.02	recess	v	recess	recess.02	dir:1	0:0
retardation-n	retardation.01	retardation	n	retard	retard.01	1:1	mnr:1	0:0	adv:1
reverse-v	reverse.01	reverse	v	reverse	reverse.01	1:1	gol:2	0:0
sample-v	sample.01	sample	v	sample	sample.01	dir:2	1:1	0:0
sampling-n	sampling.01	sampling	n	sample	sample.01	dir:2	1:1	0:0
swipe-n	swipe.02	swipe	n	swipe	swipe.02	dir:2	1:1	2:2	0:0
align-v	align.01	align	v	align	align.01	1:1	adv:3	2:2	0:0
clearing-n	clearing.02	clearing	n	clear	clear.02	1:1	gol:3	2:2	0:0
climbing-n	climbing.02	climbing	n	climb	climb.02	3:3	adv:5	2:2	4:4	1:1
cover-v	cover.01	cover	v	cover	cover.01	1:1	gol:3	adv:3	2:2	0:0
divide-v	divide.02	divide	v	divide	divide.02	1:1	dir:3	2:2	0:0
gain-v	gain.01	gain	v	gain	gain.01	3:3	loc:5	2:2	4:4	1:1
gamble-v	gamble.01	gamble	v	gamble	gamble.01	1:2	2:2	0:0
hang-v	hang.03	hang	v	hang	hang_up.03	1:2	0:0
instruct-v	instruct.01	instruct	v	instruct	instruct.01	1:3	2:2	0:0
lie-v	lie.02	lie	v	lay	lie.08	1:3	2:2	adv:adv	adv:3	0:0
plot-v	plot.01	plot	v	plot	plot.01	1:2	gol:2	0:0
preserve-v	preserve.01	preserve	v	preserve	preserve.01	1:1	gol:3	2:2	0:0
progress-n	progress.01	progress	n	progress	progress.01	3:3	4:2	1:1
progression-n	progression.01	progression	n	progress	progress.01	3:3	4:2	1:1
proposal-n	proposal.01	proposal	n	propose	propose.01	1:1	2:3	0:0
prosecute-v	prosecute.01	prosecute	v	prosecute	prosecute.01	cau:2	1:1	2:3	0:0
punish-v	punish.01	punish	v	punish	punish.01	1:1	2:2	mnr:3	0:0
recognize-v	recognize.01	recognize	v	recognize	recognize.01	1:1	2:3	0:0
riot-v	riot.01	riot	v	riot	riot.01	cau:1	0:0
shoot-v	shoot.03	shoot	v	shoot	shoot.03	1:1	mnr:2	0:0
sign-n	sign.01	sign	n	sign	signal.07	1:1	adv:3	2:2	0:0
speculate-v	speculate.01	speculate	v	speculate	speculate.01	1:1	0:0	adv:2
spike-v	spike.04	spike	v	spike	spike.04	1:1	ext:2	gol:4	dir:3
swim-v	swim.01	swim	v	swim	swim.01	dir:3	1:2	0:0
whine-v	whine.01	whine	v	whine	whine.01	1:3	2:2	0:0
walk-v	walk.01	walk	v	walk	walk.01	a:0	1:2	0:1	0:0
abduction-n	abduction.01	abduction	n	abduct	abduct.01	1:1	0:0
abortion-n	abortion.01	abortion	n	abort	abort.01	1:1	0:0
abrasion-n	abrasion.01	abrasion	n	abrade	abrade.01	1:1	2:2	0:0
absorption-n	absorption.01	absorption	n	absorb	absorb.01	3:3	2:2	0:0	1:1
abuse-n	abuse.01	abuse	n	abuse	abuse.01	1:1	0:0
accordance-n	accordance.01	accordance	n	accord	accord.01	1:1	2:2	0:0
account-n	account.01	account	n	account	account.01	1:1	2:gol	0:0
accounting-n	accounting.01	accounting	n	account	account.01	3:2	1:1	0:0
aching-n	aching.01	aching	n	ache	ache.01	0:0
acknowledgment-n	acknowledgment.01	acknowledgment	n	acknowledge	acknowledge.01	3:3	2:2	0:0	1:1
action-n	action.01	action	n	act	act.02	1:1	0:0	gol:gol
addiction-n	addiction.01	addiction	n	addict	addict.01	1:1	2:2	0:0
addition-n	addition.01	addition	n	add	add.02	1:1	2:2	0:0
adhesion-n	adhesion.01	adhesion	n	adhere	adhere.01	1:1	2:2	0:0
adjust-v	adjust.01	adjust	v	adjust	adjust.01	3:3	4:4	2:2	0:0	1:1
adjustment-n	adjustment.01	adjustment	n	adjust	adjust.01	3:3	4:4	2:2	0:0	1:1
administration-n	administration.01	administration	n	administer	administer.01	1:1	2:2	0:0
admission-n	admission.01	admission	n	admit	admit.01	1:1	2:2	0:0
admission-n	admission.02	admission	n	admit	admit.02	1:1	2:2	0:0
admitting-n	admitting.01	admitting	n	admit	admit.01	1:1	2:2	0:0
admitting-n	admitting.02	admitting	n	admit	admit.02	1:1	2:2	0:0
admonish-v	admonish.01	admonish	v	admonish	admonish.01	1:1	2:2	0:0
aggregation-n	aggregation.01	aggregation	n	aggregate	aggregate.01	1:1	2:2	0:0
aging-n	aging.01	aging	n	age	age.01	1:1	2:2	0:0
agitation-n	agitation.01	agitation	n	agitate	agitate.01	1:1	0:0
aim-n	aim.02	aim	n	aim	aim.02	1:1	2:2	0:0
alert-n	alert.01	alert	n	alert	alert.01	1:1	2:2	0:0
alleviation-n	alleviation.01	alleviation	n	alleviate	alleviate.01	1:1	0:0
allocation-n	allocation.01	allocation	n	allocate	allocate.01	1:1	2:2	0:0
allowance-n	allowance.01	allowance	n	allow	allow.01	1:1	0:0
alternation-n	alternation.01	alternation	n	alternate	alternate.01	1:1	2:2	0:0
ambulation-n	ambulation.01	ambulation	n	ambulate	ambulate.01	1:0	2:1	3:gol
amplification-n	amplification.01	amplification	n	amplify	amplify.01	1:1	2:2	0:0
amputation-n	amputation.01	amputation	n	amputate	amputate.01	1:1	0:0
angulation-n	angulation.01	angulation	n	angulate	angulate.01	1:1	2:2	0:0
ankylosing-n	ankylosing.01	ankylosing	n	ankylose	ankylose.01	1:1	0:0
announcement-n	announcement.01	announcement	n	announce	announce.01	3:3	2:2	0:0	1:1
answer-n	answer.01	answer	n	answer	answer.01	1:1	2:2	0:0
apologize-v	apologize.01	apologize	v	apologize	apologize.01	1:1	2:2	0:0
appeal-n	appeal.01	appeal	n	appeal	appeal.01	1:1	2:2	0:0
appeal-n	appeal.02	appeal	n	appeal	appeal.02	1:1	2:2	0:0
application-n	application.03	application	n	apply	apply.03	3:3	2:2	0:0	1:1
approach-n	approach.01	approach	n	approach	approach.01	1:1	2:2
approach-n	approach.02	approach	n	approach	approach.02	1:1	2:2	0:0
approval-n	approval.01	approval	n	approve	approve.01	1:1	2:2	0:0
arrangement-n	arrangement.01	arrangement	n	arrange	arrange.01	3:3	4:4	2:2	0:0	1:1
arrest-n	arrest.02	arrest	n	arrest	arrest.02	1:1	0:0
arrival-n	arrival.01	arrival	n	arrive	arrive.01	3:3	2:2	4:4	1:1
ascending-n	ascending.01	ascending	n	ascend	ascend.01	1:1	0:0
asphyxiate-v	asphyxiate.01	asphyxiate	v	asphyxiate	asphyxiate.01	1:1	2:2	0:0
aspiration-n	aspiration.01	aspiration	n	aspire	aspire.01	1:1	0:0
assault-n	assault.01	assault	n	assault	assault.01	2:mnr	1:1	0:0
assault-n	assault.01	assault	n	assault	assault.01	2:mnr	1:1	0:0
assembly-n	assembly.02	assembly	n	assemble	assemble.02	1:1	2:2	0:0
assert-v	assert.02	assert	v	assert	assert.02	3:3	2:2	0:0	1:1
assert-v	assert.03	assert	v	assert	assert.03	3:3	2:gol	0:0	1:1
association-n	association.01	association	n	associate	associate.01	1:1	2:2	0:0
assumption-n	assumption.01	assumption	n	assume	assume.02	1:1	2:2	0:0
assumption-n	assumption.02	assumption	n	assume	assume.01	3:3	4:4	2:2	0:0	1:1
assurance-n	assurance.01	assurance	n	assure	assure.01	1:1	2:2	0:0
attack-n	attack.01	attack	n	attack	attack.01	3:2	2:mnr	0:0	1:1
attack-n	attack.01	attack	n	attack	attack.01	3:2	2:mnr	0:0	1:1
attempt-n	attempt.01	attempt	n	attempt	attempt.01	1:1	0:0
attraction-n	attraction.01	attraction	n	attract	attract.01	3:3	2:2	0:0	1:1
auction-n	auction.01	auction	n	auction	auction_off.01	3:3	4:4	2:2	0:0	1:1
augmentation-n	augmentation.01	augmentation	n	augment	augment.01	1:1	2:2	0:0
auscultation-n	auscultation.01	auscultation	n	auscultate	auscultate.01	1:1	0:0
authorization-n	authorization.01	authorization	n	authorize	authorize.01	3:3	2:2	0:0	1:1
awake-v	awake.01	awake	v	wake	wake.01	dir:2	1:1	cau:0	2:3
awaken-v	awaken.01	awaken	v	wake	wake.01	dir:2	1:1	2:3	0:0
backing-n	backing.01	backing	n	back	back.01	1:1	0:0
bankruptcy-n	bankruptcy.01	bankruptcy	n	bankrupt	bankrupt.01	1:1	0:0
bargain-n	bargain.01	bargain	n	bargain	bargain.01	1:1	2:2	0:0
bath-n	bath.01	bath	n	bathe	bathe.01	1:2	0:0
bathe-v	bathe.01	bathe	v	bathe	bathe.01	1:2	0:0
beat-n	beat.01	beat	n	beat	beat.02	1:1	2:2	0:0
bedding-n	bedding.01	bedding	n	bed	bed.02	1:1	2:2	0:0
bend-n	bend.01	bend	n	bend	bend.01	1:1	2:prd	0:0
bend-n	bend.01	bend	n	bend	bend.01	1:1	2:prd	0:0
bicker-v	bicker.01	bicker	v	bicker	bicker.01	1:1	com:2	0:0
bid-n	bid.02	bid	n	bid	bid.03	1:1	2:2	0:0
biking-n	biking.01	biking	n	bike	bike.01	1:1	0:0
billing-n	billing.01	billing	n	bill	bill.01	3:3	2:2	0:0	1:1
binding-n	binding.01	binding	n	bind	bind.01	3:3	2:2	0:0	1:1
birth-n	birth.01	birth	n	birth	birth.01	1:1	0:0
black-v	black.01	black	v	blacken	black_out.02	0:0
black-v	black.02	black	v	blacken	black_out.03	1:1	0:0
blacken-v	blacken.01	blacken	v	blacken	blacken.01	1:1	0:0
blacken-v	blacken.01	blacken	v	blacken	blacken.01	1:1	0:0
blame-n	blame.01	blame	n	blame	blame.01	1:1	2:2	0:0
blast-n	blast.03	blast	n	blast	blast.05	1:1	2:2	0:0
blister-v	blister.03	blister	v	blister	blister.01	1:1	0:0
blistering-n	blistering.01	blistering	n	blister	blister.01	1:1	0:0
blockage-n	blockage.01	blockage	n	block	block.01	3:3	2:2	0:0	1:1
blocking-n	blocking.01	blocking	n	block	block.01	3:3	2:2	0:0	1:1
blowing-n	blowing.01	blowing	n	blow	blow.01	1:1	0:0	dir:dir
blowing-n	blowing.02	blowing	n	blow	blow.02	1:1	2:2	0:0
blowing-n	blowing.05	blowing	n	blow	blow_up.05	3:3	4:4	2:2	0:0	1:1
blowing-n	blowing.06	blowing	n	blow	blow_up.06	1:1	2:2	0:0
blowing-n	blowing.10	blowing	n	blow	blow.10	1:1	0:0
blowing-n	blowing.11	blowing	n	blow	blow.11	1:1	2:2	0:0
boom-v	boom.02	boom	v	boom	boom.02	1:1	0:0
border-v	border.01	border	v	border	border.01	1:2	0:0	2:1
bracing-n	bracing.01	bracing	n	brace	brace.01	1:1	2:2	0:0
break-n	break.02	break	n	break	break.19	1:1	2:2	0:0
break-n	break.03	break	n	break	break.20	1:1	2:2	0:0
break-n	break.04	break	n	break	break_through.22	1:1	0:0
break-v	break.11	break	v	break	break_down.11	1:2	0:0
break-v	break.15	break	v	break	break.13	1:1	0:0
breakthrough-n	breakthrough.01	breakthrough	n	break	break_through.22	1:1	0:0
breakthrough-v	breakthrough.01	breakthrough	v	break	break_through.22	1:1	0:0
breastfeeding-n	breastfeeding.01	breastfeeding	n	breastfeed	breastfeed.01	1:1	2:2	0:0
breath-n	breath.01	breath	n	breathe	breathe.01	1:1	2:2	0:0
breathing-n	breathing.01	breathing	n	breathe	breathe.01	1:1	2:2	0:0
broadening-n	broadening.01	broadening	n	broaden	broaden.01	3:3	4:4	2:2	0:0	1:1
brushing-n	brushing.01	brushing	n	brush	brush.01	1:1	0:0
bulging-n	bulging.01	bulging	n	bulge	bulge.01	1:1	2:2	0:2
burning-n	burning.01	burning	n	burn	burn.01	1:1	0:0
burping-n	burping.01	burping	n	burp	burp.01	1:1	0:0
bust-v	bust.02	bust	v	bust	bust.02	1:1	2:2	0:0
call-n	call.02	call	n	call	call.03	1:1	2:2	0:0
call-n	call.10	call	n	call	call.10	1:1	2:2	0:0
call-v	call.10	call	v	call	call.10	1:2	0:0
capitulate-v	capitulate.01	capitulate	v	capitulate	capitulate.01	gol:1	0:0
cardioversion-n	cardioversion.01	cardioversion	n	cardiovert	cardiovert.01	1:1	2:2	0:0
catalog-v	catalog.01	catalog	v	catalogue	catalogue.01	1:1	gol:2	0:0
catalogue-v	catalogue.01	catalogue	v	catalogue	catalogue.01	1:1	2:2	0:0
charge-n	charge.03	charge	n	charge	charge.05	1:2	0:0	2:1
clearance-n	clearance.01	clearance	n	clear	clear.02	1:1	2:3	0:0
collapse-n	collapse.01	collapse	n	collapse	collapse.01	4:4	1:1	0:0	2:2	3:3	5:adv
collapse-v	collapse.01	collapse	v	collapse	collapse.01	1:1	ext:2	0:0	gol:4
collapse-v	collapse.02	collapse	v	collapse	collapse.02	3:3	2:2	4:4	1:1
collecting-n	collecting.01	collecting	n	collect	collect.01	1:1	2:2	4:4	0:0
collection-n	collection.01	collection	n	collect	collect.01	4:4	1:1	5:prd	0:0	2:2	3:3
comment-v	comment.01	comment	v	comment	comment.01	1:3	0:0
comment-v	comment.02	comment	v	comment	comment.01	3:3	2:2	0:0	1:1
complaint-n	complaint.01	complaint	n	complain	complain.01	1:1	2:2	0:0
concede-v	concede.01	concede	v	concede	concede.01	1:1	gol:2	0:0
conclusion-n	conclusion.01	conclusion	n	conclude	conclude.01	1:1	2:2	cau:3	0:0
conference-n	conference.01	conference	n	confer	confer.01	1:1	0:0
conflict-v	conflict.01	conflict	v	conflict	conflict.01	1:1	2:2	0:0
confusion-n	confusion.01	confusion	n	confuse	confuse.01	1:1	2:2	0:0
congestion-n	congestion.01	congestion	n	congest	congest.01	1:1	2:2	0:0
connection-n	connection.01	connection	n	connect	connect.01	3:3	2:2	0:0	1:1
constipation-n	constipation.01	constipation	n	constipate	constipate.01	1:1	cau:0	mnr:2
conversation-n	conversation.01	conversation	n	converse	converse.01	3:mnr	2:2	0:0	1:1
deal-v	deal.01	deal	v	deal	deal.01	com:1	1:2	0:0
declaration-n	declaration.02	declaration	n	declare	declare.01	3:3	2:2	0:0	1:1
defeat-n	defeat.01	defeat	n	defeat	defeat.01	1:loc	0:0	2:1
deploy-v	deploy.01	deploy	v	deploy	deploy.01	1:1	gol:2	2:prd	0:0
deride-v	deride.01	deride	v	deride	deride.01	cau:2	1:1	2:prd	0:0
development-n	development.01	development	n	develop	develop.01	1:2	2:1
dieting-n	dieting.01	dieting	n	diet	diet.01	1:1	0:0
dig-n	dig.02	dig	n	dig	dig.01	3:3	2:2	0:0	1:1
